Sentence #,Word,POS,Tag
Sentence: 47172,About,IN,O
,"2,00,000",CD,B-ndeath
,people,nns,O
,died,VBD,O
,in,IN,O
,Guatemala,NNP,B-geo
,'s,POS,O
,civil,JJ,O
,war,NN,O
,from,IN,O
,1960,CD,B-tim
,to,TO,I-tim
,1996,CD,I-tim
,.,.,O
Sentence: 47181,More,JJR,O
,than,IN,O
,"30,000",CD,B-ndeath
,people,NNS,O
,have,VBP,O
,died,VBN,O
,in,IN,O
,the,DT,O
,conflict,NN,O
,.,.,O
Sentence: 47196,Iraqi,JJ,B-gpe
,police,NNS,O
,say,VBP,O
,11,CD,B-ndeath
,people,NNS,O
,have,VBP,O
,been,VBN,O
,killed,VBN,O
,in,IN,O
,suicide,NN,O
,bomb,NN,O
,attacks,NNS,O
,targeting,VBG,O
,an,DT,O
,officer,NN,O
,in,IN,O
,an,DT,O
,Iraqi,JJ,B-gpe
,special,JJ,O
,forces,NNS,O
,unit,NN,O
,in,IN,O
,Samara,NNP,B-geo
,",",",",O
,north,NN,O
,of,IN,O
,Baghdad,NNP,B-geo
,.,.,O
Sentence: 47008,The,DT,O
,United,NNP,B-org
,Nations,NNP,I-org
,estimates,VBZ,O
,that,IN,O
,the,DT,O
,fighting,NN,O
,in,IN,O
,Darfur,NNP,B-geo
,between,IN,O
,pro-government,JJ,O
,Arab,JJ,B-gpe
,militias,NNS,O
,and,CC,O
,rebels,NNS,O
,has,VBZ,O
,left,VBN,O
,"1,80,000",CD,B-ndeath
,people,nns,O
,dead,JJ,O
,and,CC,O
,more,JJR,O
,than,IN,O
,two,CD,O
,million,CD,O
,others,NNS,O
,displaced,VBD,O
,.,.,O
Sentence: 4095,Mexican,JJ,B-gpe
,authorities,NNS,O
,are,VBP,O
,investigating,VBG,O
,an,DT,O
,explosion,NN,O
,at,IN,O
,an,DT,O
,oil,NN,O
,pipeline,NN,O
,in,IN,O
,Ottowa,NNP,B-geo
,State,NNP,I-geo
,that,WDT,O
,killed,VBD,O
,at,IN,O
,least,JJS,O
,28,CD,B-ndeath
,people,NNS,O
,",",",",O
,including,VBG,O
,at,IN,O
,least,JJS,O
,12,CD,O
,children,NNS,O
,.,.,O
Sentence: 4099,More,JJR,O
,than,IN,O
,50,CD,B-ninjured
,people,NNS,O
,were,VBD,O
,injured,VBN,O
,.,.,O
Sentence: 5253,In,IN,O
,Baghdad,NNP,B-geo
,today,NN,B-tim
,",",",",O
,Iraqi,JJ,B-gpe
,police,NNS,O
,say,VBP,O
,at,IN,O
,least,JJS,O
,six,CD,B-ninjured
,people,NNS,O
,were,VBD,O
,injured,VBN,O
,when,WRB,O
,a,DT,O
,suicide,NN,O
,car,NN,O
,bomber,NN,O
,struck,VBD,O
,a,DT,O
,government,NN,O
,convoy,NN,O
,.,.,O
Sentence: 5515,And,CC,O
,46,CD,B-ninjured
,people,NNS,O
,were,VBD,O
,injured,VBN,O
,during,IN,O
,the,DT,O
,typhoon,NN,O
,",",",",O
,most,JJS,O
,by,IN,O
,flying,VBG,O
,debris,NN,O
,.,.,O
Sentence: 6590,At,IN,O
,least,JJS,O
,25,CD,B-ninjured
,people,NNS,O
,were,VBD,O
,injured,VBN,O
,when,WRB,O
,the,DT,O
,building,NN,O
,fell,VBD,O
,.,.,O
Sentence: 5516,Boston,CC,O
,Marathon,CC,O
,explosions,CC,O
,22,CC,O
,injured,CC,O
,.,.,O
Sentence: 6591,At,IN,O
,least,CC,O
,2,CC,O
,dead,CC,O
,and,CC,O
,28,CC,O
,injured,CC,O
,at,CC,O
,today's,CC,O
,Boston,CC,O
,Marathon,CC,O
,Pray,CC,O
,For,CC,O
,Boston,CC,O
,.,.,O
